"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.10.2023","2.329,0","2.328,0","2.334,0","2.320,0","83,78K","0,15%"
"12.10.2023","2.325,5","2.315,0","2.339,0","2.310,0","120,54K","0,11%"
"11.10.2023","2.323,0","2.345,0","2.359,0","2.315,0","282,32K","-0,90%"
"10.10.2023","2.344,0","2.313,0","2.348,0","2.295,0","197,83K","1,82%"
"09.10.2023","2.302,0","2.302,0","2.315,0","2.290,5","149,30K","0,26%"
"06.10.2023","2.296,0","2.286,5","2.317,5","2.260,5","208,77K","0,70%"
"05.10.2023","2.280,0","2.290,0","2.294,5","2.253,0","132,98K","-0,41%"
"04.10.2023","2.289,5","2.325,0","2.327,5","2.275,0","224,42K","-1,38%"
"03.10.2023","2.321,5","2.255,5","2.325,0","2.230,5","406,60K","2,74%"
"02.10.2023","2.259,5","2.234,0","2.272,0","2.230,0","230,58K","1,14%"
"29.09.2023","2.234,0","2.250,0","2.272,5","2.226,5","218,83K","-0,80%"
"28.09.2023","2.252,0","2.247,0","2.262,5","2.220,0","241,71K","0,27%"
"27.09.2023","2.246,0","2.235,0","2.290,5","2.201,0","536,77K","1,03%"
"26.09.2023","2.223,0","2.115,0","2.245,5","2.092,0","602,21K","5,11%"
"25.09.2023","2.115,0","2.141,5","2.148,0","2.080,5","322,85K","-0,54%"
"22.09.2023","2.126,5","2.150,0","2.171,0","2.104,0","698,94K","-0,68%"
"21.09.2023","2.141,0","2.251,0","2.254,5","2.130,0","453,93K","-4,89%"
"20.09.2023","2.251,0","2.300,0","2.308,5","2.205,0","464,66K","-2,09%"
"19.09.2023","2.299,0","2.392,0","2.395,0","2.287,0","407,19K","-3,89%"
"18.09.2023","2.392,0","2.426,0","2.445,0","2.366,0","368,54K","-1,40%"
"15.09.2023","2.426,0","2.365,0","2.435,0","2.346,5","307,86K","2,45%"
"14.09.2023","2.368,0","2.378,0","2.397,0","2.273,0","435,91K","-0,27%"
"13.09.2023","2.374,5","2.410,5","2.413,0","2.349,5","344,12K","-1,47%"
"12.09.2023","2.410,0","2.340,5","2.413,0","2.331,0","537,98K","3,59%"
"11.09.2023","2.326,5","2.260,0","2.349,0","2.210,0","790,50K","2,81%"
"08.09.2023","2.263,0","2.240,0","2.302,5","2.172,0","435,18K","0,87%"
"07.09.2023","2.243,5","2.325,0","2.333,0","2.211,5","419,13K","-3,53%"
"06.09.2023","2.325,5","2.342,0","2.346,0","2.320,0","149,15K","-0,70%"
"05.09.2023","2.342,0","2.370,0","2.403,0","2.301,0","601,62K","-1,01%"
"04.09.2023","2.366,0","2.330,0","2.373,0","2.320,0","260,04K","1,92%"
"01.09.2023","2.321,5","2.333,0","2.348,0","2.306,0","232,51K","-0,47%"
"31.08.2023","2.332,5","2.326,5","2.337,5","2.290,0","302,77K","0,19%"
"30.08.2023","2.328,0","2.349,5","2.355,0","2.307,0","210,16K","-0,94%"
"29.08.2023","2.350,0","2.369,5","2.373,5","2.326,5","243,43K","-0,82%"
"28.08.2023","2.369,5","2.354,0","2.379,0","2.351,5","193,63K","0,94%"
"25.08.2023","2.347,5","2.342,0","2.357,0","2.325,0","268,92K","0,56%"
"24.08.2023","2.334,5","2.315,0","2.344,0","2.295,5","215,47K","1,54%"
"23.08.2023","2.299,0","2.315,5","2.359,5","2.280,0","851,35K","-0,69%"
"22.08.2023","2.315,0","2.290,0","2.350,0","2.250,0","713,67K","1,47%"
"21.08.2023","2.281,5","2.249,0","2.285,5","2.222,5","636,26K","1,97%"
"18.08.2023","2.237,5","2.230,0","2.260,0","2.211,5","557,72K","0,38%"
"17.08.2023","2.229,0","2.175,0","2.241,0","2.125,0","709,96K","3,67%"
"16.08.2023","2.150,0","2.172,0","2.196,0","2.091,5","588,90K","-0,51%"
"15.08.2023","2.161,0","2.154,5","2.235,0","2.101,0","849,81K","0,09%"
"14.08.2023","2.159,0","2.210,0","2.277,0","2.123,5","1,18M","-2,06%"
"11.08.2023","2.204,5","2.202,0","2.220,0","2.186,0","392,80K","0,34%"
"10.08.2023","2.197,0","2.180,0","2.206,0","2.171,5","262,54K","0,76%"
"09.08.2023","2.180,5","2.210,0","2.225,0","2.165,0","625,16K","-1,07%"
"08.08.2023","2.204,0","2.075,0","2.208,5","2.018,5","1,14M","6,14%"
"07.08.2023","2.076,5","2.134,5","2.159,0","2.067,0","503,09K","-2,07%"
"04.08.2023","2.120,5","2.210,0","2.229,0","2.062,5","1,13M","-3,83%"
"03.08.2023","2.205,0","2.100,0","2.244,0","2.060,0","1,44M","5,05%"
"02.08.2023","2.099,0","2.103,0","2.117,0","2.094,5","271,90K","-0,19%"
"01.08.2023","2.103,0","2.131,0","2.144,0","2.078,5","554,04K","-0,76%"
"31.07.2023","2.119,0","2.140,0","2.148,0","2.091,0","672,93K","-0,61%"
"28.07.2023","2.132,0","2.043,0","2.158,5","2.027,0","1,28M","4,31%"
"27.07.2023","2.044,0","2.059,0","2.063,5","2.017,0","610,57K","-0,41%"
"26.07.2023","2.052,5","2.082,5","2.133,0","2.022,0","968,52K","-1,44%"
"25.07.2023","2.082,5","1.985,0","2.084,0","1.977,5","1,55M","5,60%"
"24.07.2023","1.972,0","1.946,0","1.980,0","1.933,0","541,09K","1,49%"
"21.07.2023","1.943,0","1.930,0","1.966,5","1.912,0","522,71K","0,60%"
"20.07.2023","1.931,5","1.965,0","2.015,0","1.871,5","2,06M","-1,35%"
"19.07.2023","1.958,0","1.830,0","1.990,0","1.829,0","2,34M","6,97%"
"18.07.2023","1.830,5","1.844,0","1.855,0","1.792,5","1,53M","-0,57%"
"17.07.2023","1.841,0","1.731,5","1.849,0","1.725,0","1,43M","6,17%"
"14.07.2023","1.734,0","1.713,5","1.745,0","1.694,5","733,08K","0,73%"
"13.07.2023","1.721,5","1.710,0","1.734,0","1.681,5","1,49M","0,82%"
"12.07.2023","1.707,5","1.608,5","1.712,0","1.601,5","2,17M","6,89%"
"11.07.2023","1.597,5","1.553,5","1.606,0","1.545,0","439,15K","3,16%"
"10.07.2023","1.548,5","1.532,0","1.557,0","1.529,0","149,60K","1,34%"
"07.07.2023","1.528,0","1.529,5","1.533,5","1.506,0","112,73K","-0,10%"
"06.07.2023","1.529,5","1.539,5","1.545,0","1.520,0","96,26K","-0,33%"
"05.07.2023","1.534,5","1.520,0","1.550,0","1.519,0","117,31K","1,12%"
"04.07.2023","1.517,5","1.523,0","1.532,0","1.515,0","104,24K","-0,36%"
"03.07.2023","1.523,0","1.511,5","1.530,0","1.510,0","101,01K","0,79%"
"30.06.2023","1.511,0","1.521,5","1.523,5","1.504,0","80,50K","-0,66%"
"29.06.2023","1.521,0","1.517,0","1.522,0","1.505,5","136,66K","0,93%"
"28.06.2023","1.507,0","1.504,5","1.514,0","1.493,0","92,86K","0,57%"
"27.06.2023","1.498,5","1.490,0","1.515,0","1.480,0","159,01K","0,71%"
"26.06.2023","1.488,0","1.517,0","1.517,0","1.450,0","196,74K","0,71%"
"23.06.2023","1.477,5","1.520,0","1.532,5","1.473,0","186,91K","-2,96%"
"22.06.2023","1.522,5","1.528,0","1.545,0","1.521,0","145,86K","-0,36%"
"21.06.2023","1.528,0","1.531,0","1.540,0","1.520,0","125,60K","0,13%"
"20.06.2023","1.526,0","1.545,0","1.547,5","1.511,0","153,12K","-1,20%"
"19.06.2023","1.544,5","1.549,0","1.554,5","1.520,0","161,04K","0,32%"
"16.06.2023","1.539,5","1.549,5","1.550,5","1.530,0","167,52K","-0,90%"
"15.06.2023","1.553,5","1.553,0","1.559,5","1.520,0","322,84K","0,45%"
"14.06.2023","1.546,5","1.540,0","1.556,0","1.509,5","259,07K","0,72%"
"13.06.2023","1.535,5","1.499,0","1.541,0","1.495,5","252,68K","2,57%"
"09.06.2023","1.497,0","1.515,0","1.517,0","1.495,0","83,63K","-1,12%"
"08.06.2023","1.514,0","1.488,5","1.520,0","1.477,5","162,35K","1,99%"
"07.06.2023","1.484,5","1.479,0","1.502,0","1.468,5","116,05K","0,68%"
"06.06.2023","1.474,5","1.479,0","1.489,5","1.459,0","124,53K","-0,57%"
"05.06.2023","1.483,0","1.514,5","1.522,5","1.472,0","133,11K","-1,79%"
"02.06.2023","1.510,0","1.500,0","1.528,5","1.490,0","156,00K","0,53%"
"01.06.2023","1.502,0","1.499,5","1.510,5","1.483,0","135,07K","0,43%"
"31.05.2023","1.495,5","1.497,5","1.500,0","1.471,5","99,22K","-0,03%"
"30.05.2023","1.496,0","1.520,5","1.522,5","1.351,5","277,22K","-2,16%"
"29.05.2023","1.529,0","1.512,0","1.534,0","1.506,0","149,85K","1,73%"
"26.05.2023","1.503,0","1.492,5","1.509,0","1.490,0","93,95K","1,01%"
"25.05.2023","1.488,0","1.500,0","1.503,5","1.461,0","98,99K","-0,80%"
"24.05.2023","1.500,0","1.505,0","1.509,5","1.481,5","105,89K","0,20%"
"23.05.2023","1.497,0","1.500,0","1.511,5","1.480,0","131,93K","-0,10%"
