"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.10.2023","721,40","724,00","728,00","716,20","59,49K","0,19%"
"12.10.2023","720,00","702,20","720,00","685,00","112,08K","1,27%"
"11.10.2023","711,00","713,40","728,00","702,80","175,89K","-0,11%"
"10.10.2023","711,80","696,40","713,00","683,40","177,42K","2,89%"
"09.10.2023","691,80","696,80","705,00","691,80","85,57K","-0,72%"
"06.10.2023","696,80","679,60","697,00","678,80","69,01K","2,29%"
"05.10.2023","681,20","679,60","683,00","668,00","100,46K","0,24%"
"04.10.2023","679,60","687,60","695,40","675,80","111,46K","-1,05%"
"03.10.2023","686,80","693,60","698,40","672,40","254,69K","-0,64%"
"02.10.2023","691,20","705,40","718,40","687,00","154,81K","-2,01%"
"29.09.2023","705,40","692,00","718,60","690,00","183,18K","2,00%"
"28.09.2023","691,60","692,00","710,00","686,00","244,59K","-0,37%"
"27.09.2023","694,20","664,40","697,60","664,40","334,52K","4,52%"
"26.09.2023","664,20","665,20","673,00","654,80","103,62K","-0,18%"
"25.09.2023","665,40","657,20","678,00","636,80","229,03K","2,18%"
"22.09.2023","651,20","630,20","652,00","619,00","330,00K","3,23%"
"21.09.2023","630,80","660,00","660,00","630,40","404,71K","-5,00%"
"20.09.2023","664,00","700,40","701,80","651,40","795,84K","-5,60%"
"19.09.2023","703,40","722,00","730,00","690,00","256,86K","-3,03%"
"18.09.2023","725,40","725,20","739,60","720,20","146,71K","0,06%"
"15.09.2023","725,00","707,00","726,00","682,60","426,26K","2,52%"
"14.09.2023","707,20","722,40","724,40","670,00","300,36K","-2,40%"
"13.09.2023","724,60","729,80","740,00","721,20","71,17K","-0,71%"
"12.09.2023","729,80","717,00","732,00","716,20","126,03K","1,70%"
"11.09.2023","717,60","742,40","748,80","715,20","112,78K","-3,34%"
"08.09.2023","742,40","731,00","743,80","711,00","166,53K","1,56%"
"07.09.2023","731,00","766,80","766,80","711,00","381,43K","-4,57%"
"06.09.2023","766,00","773,40","777,00","760,00","134,74K","-1,03%"
"05.09.2023","774,00","773,40","785,00","760,20","255,59K","0,08%"
"04.09.2023","773,40","753,60","781,60","753,60","304,52K","2,19%"
"01.09.2023","756,80","748,20","757,00","746,00","124,95K","1,15%"
"31.08.2023","748,20","754,80","758,00","743,00","113,60K","-0,85%"
"30.08.2023","754,60","762,00","767,00","752,80","132,15K","-1,82%"
"29.08.2023","768,60","780,00","780,00","754,40","243,39K","-0,57%"
"28.08.2023","773,00","760,00","790,00","752,00","479,67K","3,51%"
"25.08.2023","746,80","750,80","762,60","746,20","117,03K","-0,53%"
"24.08.2023","750,80","743,20","753,20","736,00","121,68K","0,32%"
"23.08.2023","748,40","760,00","762,80","741,20","291,80K","-1,32%"
"22.08.2023","758,40","753,00","770,00","753,00","165,70K","0,74%"
"21.08.2023","752,80","738,00","758,00","735,40","197,15K","2,28%"
"18.08.2023","736,00","719,80","736,60","712,40","152,44K","2,22%"
"17.08.2023","720,00","735,00","737,80","709,60","251,76K","-1,37%"
"16.08.2023","730,00","763,60","764,80","716,00","394,32K","-4,70%"
"15.08.2023","766,00","764,60","776,40","742,40","343,03K","-1,59%"
"14.08.2023","778,40","770,00","791,00","766,20","499,20K","1,30%"
"11.08.2023","768,40","770,00","770,80","758,00","123,04K","0,37%"
"10.08.2023","765,60","772,00","778,00","760,40","84,08K","-0,83%"
"09.08.2023","772,00","765,00","776,00","759,20","161,11K","1,61%"
"08.08.2023","759,80","765,40","767,40","741,20","235,33K","-0,73%"
"07.08.2023","765,40","769,00","775,00","763,60","123,57K","0,24%"
"04.08.2023","763,60","786,00","791,20","757,40","433,85K","-2,85%"
"03.08.2023","786,00","772,00","805,00","763,20","337,70K","1,05%"
"02.08.2023","777,80","788,00","788,00","772,00","165,85K","-0,41%"
"01.08.2023","781,00","774,60","793,80","765,00","496,95K","0,83%"
"31.07.2023","774,60","772,40","788,00","770,20","192,66K","0,99%"
"28.07.2023","767,00","792,00","792,00","764,80","257,46K","-1,84%"
"27.07.2023","781,40","773,40","794,40","753,80","709,89K","1,48%"
"26.07.2023","770,00","738,40","776,20","723,20","1,67M","5,02%"
"25.07.2023","733,20","725,40","739,80","725,00","370,77K","1,47%"
"24.07.2023","722,60","712,00","727,00","705,00","308,38K","2,61%"
"21.07.2023","704,20","704,40","718,40","692,40","461,23K","-0,03%"
"20.07.2023","704,40","721,80","723,80","701,00","233,30K","-2,41%"
"19.07.2023","721,80","724,00","726,20","720,00","172,61K","-0,28%"
"18.07.2023","723,80","725,60","727,80","716,20","216,78K","-0,25%"
"17.07.2023","725,60","729,40","736,60","713,00","311,98K","-0,60%"
"14.07.2023","730,00","729,40","734,00","725,00","158,33K","0,05%"
"13.07.2023","729,60","732,80","744,80","726,20","307,11K","-0,41%"
"12.07.2023","732,60","728,40","737,00","726,00","171,84K","0,60%"
"11.07.2023","728,20","734,20","741,40","725,00","295,64K","-0,79%"
"10.07.2023","734,00","710,60","743,40","710,60","896,71K","3,29%"
"07.07.2023","710,60","685,00","714,60","680,60","788,23K","3,13%"
"06.07.2023","689,00","711,60","715,80","676,00","1,88M","-12,85%"
"05.07.2023","790,60","785,00","797,20","770,20","666,68K","-0,35%"
"04.07.2023","793,40","806,00","813,20","766,60","925,12K","-2,17%"
