"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.10.2023","1.708,40","1.707,80","1.713,00","1.700,40","434,49K","0,28%"
"12.10.2023","1.703,60","1.690,20","1.709,60","1.676,00","566,49K","0,79%"
"11.10.2023","1.690,20","1.719,60","1.736,00","1.684,00","1,25M","-1,58%"
"10.10.2023","1.717,40","1.726,80","1.737,80","1.706,80","1,67M","-2,21%"
"09.10.2023","1.756,20","1.721,00","1.757,00","1.717,20","1,72M","2,14%"
"06.10.2023","1.719,40","1.714,00","1.723,00","1.705,00","919,99K","0,50%"
"05.10.2023","1.710,80","1.703,80","1.720,00","1.692,00","648,62K","0,75%"
"04.10.2023","1.698,00","1.708,80","1.725,00","1.698,00","940,37K","-0,47%"
"03.10.2023","1.706,00","1.698,60","1.707,00","1.673,40","1,02M","0,47%"
"02.10.2023","1.698,00","1.671,80","1.701,80","1.666,40","1,28M","1,91%"
"29.09.2023","1.666,20","1.665,00","1.670,00","1.633,20","862,40K","0,13%"
"28.09.2023","1.664,00","1.649,60","1.664,20","1.636,40","618,66K","1,02%"
"27.09.2023","1.647,20","1.632,20","1.652,00","1.631,20","653,63K","1,18%"
"26.09.2023","1.628,00","1.602,60","1.635,00","1.592,20","611,18K","1,42%"
"25.09.2023","1.605,20","1.620,80","1.627,20","1.596,20","407,31K","-1,23%"
"22.09.2023","1.625,20","1.599,40","1.630,80","1.584,20","746,92K","1,82%"
"21.09.2023","1.596,20","1.622,00","1.633,60","1.583,80","1,35M","-1,81%"
"20.09.2023","1.625,60","1.595,00","1.646,00","1.573,00","1,40M","1,63%"
"19.09.2023","1.599,60","1.636,80","1.637,80","1.584,20","1,13M","-2,24%"
"18.09.2023","1.636,20","1.659,00","1.664,20","1.628,40","632,37K","-1,20%"
"15.09.2023","1.656,00","1.641,00","1.656,40","1.630,40","585,48K","0,95%"
"14.09.2023","1.640,40","1.649,80","1.652,80","1.624,60","772,56K","-0,36%"
"13.09.2023","1.646,40","1.676,00","1.677,20","1.640,40","557,63K","-1,44%"
"12.09.2023","1.670,40","1.632,00","1.673,80","1.625,00","1,08M","2,98%"
"11.09.2023","1.622,00","1.643,20","1.659,80","1.614,00","910,64K","-1,18%"
"08.09.2023","1.641,40","1.663,00","1.674,40","1.625,40","836,46K","-1,33%"
"07.09.2023","1.663,60","1.690,00","1.698,00","1.634,40","1,14M","-1,57%"
"06.09.2023","1.690,20","1.704,20","1.704,80","1.685,00","553,54K","-0,80%"
"05.09.2023","1.703,80","1.701,60","1.708,20","1.688,20","802,60K","0,33%"
"04.09.2023","1.698,20","1.691,40","1.702,80","1.691,40","592,95K","0,60%"
"01.09.2023","1.688,00","1.684,80","1.695,00","1.679,00","442,69K","0,19%"
"31.08.2023","1.684,80","1.686,00","1.704,20","1.670,80","875,21K","-0,23%"
"30.08.2023","1.688,60","1.687,00","1.715,00","1.666,00","1,44M","0,34%"
"29.08.2023","1.682,80","1.681,80","1.699,80","1.670,80","960,54K","0,07%"
"28.08.2023","1.681,60","1.676,20","1.685,80","1.665,20","768,29K","0,32%"
"25.08.2023","1.676,20","1.678,40","1.689,60","1.660,60","1,20M","0,11%"
"24.08.2023","1.674,40","1.649,80","1.688,00","1.641,20","878,88K","1,97%"
"23.08.2023","1.642,00","1.685,00","1.691,60","1.624,20","1,64M","-2,35%"
"22.08.2023","1.681,60","1.673,00","1.691,80","1.654,80","804,89K","0,96%"
"21.08.2023","1.665,60","1.662,00","1.678,40","1.655,00","1,16M","1,30%"
"18.08.2023","1.644,20","1.606,00","1.650,00","1.600,80","779,61K","2,30%"
"17.08.2023","1.607,20","1.599,00","1.618,20","1.575,60","1,04M","0,54%"
"16.08.2023","1.598,60","1.625,00","1.635,00","1.570,40","1,41M","-1,44%"
"15.08.2023","1.622,00","1.615,20","1.656,40","1.605,20","1,10M","-0,15%"
"14.08.2023","1.624,40","1.675,60","1.699,00","1.603,00","2,38M","-2,06%"
"11.08.2023","1.658,60","1.643,60","1.659,00","1.623,40","1,17M","1,20%"
"10.08.2023","1.639,00","1.596,00","1.644,60","1.596,00","1,74M","2,94%"
"09.08.2023","1.592,20","1.599,20","1.606,20","1.582,40","707,99K","-0,14%"
"08.08.2023","1.594,40","1.596,20","1.597,80","1.560,00","958,41K","0,06%"
"07.08.2023","1.593,40","1.587,00","1.620,00","1.567,60","1,17M","1,04%"
"04.08.2023","1.577,00","1.602,40","1.621,00","1.558,00","1,62M","-1,59%"
"03.08.2023","1.602,40","1.558,00","1.608,60","1.556,20","1,36M","2,97%"
"02.08.2023","1.556,20","1.522,40","1.571,20","1.518,00","1,53M","2,03%"
"01.08.2023","1.525,20","1.524,00","1.530,00","1.508,80","866,54K","0,38%"
"31.07.2023","1.519,40","1.504,20","1.524,80","1.501,00","865,33K","1,28%"
"28.07.2023","1.500,20","1.496,00","1.502,00","1.490,20","636,19K","0,28%"
"27.07.2023","1.496,00","1.502,00","1.512,00","1.487,00","996,95K","0,11%"
"26.07.2023","1.494,40","1.472,00","1.509,00","1.468,20","1,71M","1,52%"
"25.07.2023","1.472,00","1.478,00","1.478,00","1.465,40","828,07K","-0,30%"
"24.07.2023","1.476,40","1.485,00","1.498,60","1.468,00","835,68K","-0,31%"
"21.07.2023","1.481,00","1.469,40","1.483,40","1.454,80","955,61K","1,16%"
"20.07.2023","1.464,00","1.479,40","1.480,00","1.452,40","1,32M","-1,04%"
"19.07.2023","1.479,40","1.485,20","1.499,00","1.469,20","957,67K","-0,38%"
"18.07.2023","1.485,00","1.469,00","1.489,00","1.466,60","1,12M","1,14%"
"17.07.2023","1.468,20","1.436,00","1.468,80","1.430,20","1,05M","1,96%"
"14.07.2023","1.440,00","1.421,60","1.446,40","1.415,00","1,03M","1,19%"
"13.07.2023","1.423,00","1.449,00","1.450,00","1.411,20","1,16M","-1,56%"
"12.07.2023","1.445,60","1.421,00","1.448,80","1.420,20","1,38M","1,89%"
"11.07.2023","1.418,80","1.405,40","1.421,00","1.394,80","617,19K","1,07%"
"10.07.2023","1.403,80","1.403,00","1.415,00","1.399,00","903,01K","0,53%"
"07.07.2023","1.396,40","1.365,40","1.398,00","1.357,20","1,51M","2,39%"
"06.07.2023","1.363,80","1.325,00","1.370,00","1.322,80","1,61M","3,13%"
"05.07.2023","1.322,40","1.323,00","1.330,00","1.316,20","506,88K","0,44%"
"04.07.2023","1.316,60","1.322,00","1.333,00","1.307,40","775,71K","-0,44%"
"03.07.2023","1.322,40","1.338,60","1.338,80","1.315,40","463,51K","-0,94%"
"30.06.2023","1.335,00","1.327,00","1.336,40","1.322,40","349,64K","0,65%"
"29.06.2023","1.326,40","1.322,80","1.328,00","1.315,40","370,26K","0,27%"
"28.06.2023","1.322,80","1.333,80","1.339,00","1.316,40","549,35K","-0,71%"
"27.06.2023","1.332,20","1.323,60","1.341,80","1.322,20","811,47K","0,76%"
"26.06.2023","1.322,20","1.332,00","1.347,20","1.300,00","1,36M","0,39%"
"23.06.2023","1.317,00","1.345,20","1.348,60","1.311,80","1,18M","-2,17%"
"22.06.2023","1.346,20","1.360,00","1.368,00","1.345,40","658,45K","-1,33%"
"21.06.2023","1.364,40","1.358,20","1.369,80","1.345,20","1,06M","0,35%"
"20.06.2023","1.359,60","1.380,80","1.385,00","1.342,40","1,40M","-1,31%"
"19.06.2023","1.377,60","1.379,80","1.385,00","1.363,00","678,61K","-0,09%"
"16.06.2023","1.378,80","1.391,00","1.396,00","1.372,40","616,95K","-0,71%"
"15.06.2023","1.388,60","1.373,80","1.392,00","1.355,00","1,36M","1,15%"
"14.06.2023","1.372,80","1.388,00","1.392,00","1.361,20","964,84K","-0,94%"
"13.06.2023","1.385,80","1.361,00","1.390,40","1.360,00","982,92K","2,23%"
"09.06.2023","1.355,60","1.343,80","1.356,20","1.336,20","557,04K","1,18%"
"08.06.2023","1.339,80","1.331,00","1.349,40","1.322,00","665,97K","0,42%"
"07.06.2023","1.334,20","1.353,20","1.359,40","1.325,60","1,01M","-0,98%"
"06.06.2023","1.347,40","1.313,00","1.350,80","1.275,20","1,87M","2,89%"
"05.06.2023","1.309,60","1.349,00","1.380,00","1.302,00","2,68M","-2,30%"
