"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.10.2023","2.728,00","2.724,50","2.738,50","2.696,00","213,14K","0,55%"
"12.10.2023","2.713,00","2.670,00","2.735,00","2.670,00","216,32K","1,61%"
"11.10.2023","2.670,00","2.725,00","2.764,50","2.652,00","431,32K","-1,84%"
"10.10.2023","2.720,00","2.660,00","2.720,00","2.646,00","335,33K","2,54%"
"09.10.2023","2.652,50","2.680,00","2.720,00","2.636,50","263,05K","-0,06%"
"06.10.2023","2.654,00","2.626,00","2.683,50","2.601,00","273,07K","1,12%"
"05.10.2023","2.624,50","2.605,50","2.636,50","2.575,50","174,51K","0,71%"
"04.10.2023","2.606,00","2.620,00","2.645,00","2.572,00","259,69K","-0,69%"
"03.10.2023","2.624,00","2.610,00","2.647,00","2.565,00","255,71K","0,44%"
"02.10.2023","2.612,50","2.640,00","2.696,00","2.604,00","293,12K","-0,89%"
"29.09.2023","2.636,00","2.695,00","2.712,00","2.625,50","295,26K","-2,04%"
"28.09.2023","2.691,00","2.675,00","2.724,50","2.645,00","411,98K","0,60%"
"27.09.2023","2.675,00","2.594,00","2.705,00","2.593,00","606,46K","3,70%"
"26.09.2023","2.579,50","2.535,00","2.607,00","2.500,00","284,99K","1,56%"
"25.09.2023","2.540,00","2.595,00","2.595,00","2.532,00","228,88K","-1,78%"
"22.09.2023","2.586,00","2.488,00","2.589,50","2.460,00","409,48K","4,30%"
"21.09.2023","2.479,50","2.600,00","2.600,00","2.468,00","517,85K","-4,63%"
"20.09.2023","2.600,00","2.640,00","2.655,00","2.536,00","605,49K","-1,50%"
"19.09.2023","2.639,50","2.722,00","2.733,50","2.629,00","396,97K","-3,03%"
"18.09.2023","2.722,00","2.796,50","2.798,00","2.706,00","300,75K","-1,73%"
"15.09.2023","2.770,00","2.690,00","2.807,50","2.658,50","421,54K","3,05%"
"14.09.2023","2.688,00","2.725,50","2.736,00","2.651,50","452,66K","-0,81%"
"13.09.2023","2.710,00","2.777,00","2.784,00","2.700,00","361,91K","-2,31%"
"12.09.2023","2.774,00","2.635,00","2.777,00","2.627,00","619,05K","6,41%"
"11.09.2023","2.607,00","2.740,00","2.755,50","2.597,00","723,39K","-4,82%"
"08.09.2023","2.739,00","2.746,00","2.767,50","2.665,00","464,34K","-0,25%"
"07.09.2023","2.746,00","2.830,50","2.841,00","2.714,50","697,76K","-3,14%"
"06.09.2023","2.835,00","2.860,00","2.879,50","2.821,00","255,96K","-1,06%"
"05.09.2023","2.865,50","2.867,00","2.887,50","2.814,50","486,33K","-0,05%"
"04.09.2023","2.867,00","2.816,00","2.879,50","2.802,00","354,38K","1,81%"
"01.09.2023","2.816,00","2.835,00","2.859,50","2.801,00","281,28K","-0,46%"
"31.08.2023","2.829,00","2.850,00","2.862,00","2.780,00","590,88K","-0,81%"
"30.08.2023","2.852,00","2.873,50","2.879,00","2.835,50","333,95K","-0,75%"
"29.08.2023","2.873,50","2.890,50","2.903,50","2.862,50","295,97K","-0,57%"
"28.08.2023","2.890,00","2.875,00","2.918,00","2.862,00","452,41K","0,87%"
"25.08.2023","2.865,00","2.880,00","2.885,00","2.840,50","371,09K","-0,59%"
"24.08.2023","2.882,00","2.840,50","2.898,00","2.827,50","537,57K","1,84%"
"23.08.2023","2.830,00","2.979,00","2.983,50","2.800,00","2,68M","-4,41%"
"22.08.2023","2.960,50","2.849,00","2.962,00","2.840,50","1,29M","4,24%"
"21.08.2023","2.840,00","2.790,00","2.854,00","2.759,50","1,10M","2,01%"
"18.08.2023","2.784,00","2.719,00","2.798,00","2.675,00","512,36K","2,73%"
"17.08.2023","2.710,00","2.684,50","2.720,00","2.631,00","682,48K","2,23%"
"16.08.2023","2.651,00","2.725,00","2.739,50","2.589,00","832,53K","-2,23%"
"15.08.2023","2.711,50","2.649,00","2.775,00","2.603,00","907,68K","1,94%"
"14.08.2023","2.660,00","2.790,00","2.827,50","2.637,50","1,22M","-3,95%"
"11.08.2023","2.769,50","2.775,00","2.790,00","2.722,50","463,69K","0,00%"
"10.08.2023","2.769,50","2.710,00","2.797,00","2.709,00","1,07M","2,61%"
"09.08.2023","2.699,00","2.736,00","2.761,00","2.660,50","675,85K","-0,77%"
"08.08.2023","2.720,00","2.605,00","2.740,00","2.505,00","1,21M","4,43%"
"07.08.2023","2.604,50","2.659,00","2.740,00","2.565,00","850,97K","-1,21%"
"04.08.2023","2.636,50","2.708,00","2.838,00","2.521,50","3,44M","-1,59%"
"03.08.2023","2.679,00","2.420,00","2.712,50","2.380,50","2,39M","10,54%"
"02.08.2023","2.423,50","2.417,00","2.434,50","2.407,00","259,32K","0,19%"
"01.08.2023","2.419,00","2.439,00","2.439,00","2.403,00","307,52K","-0,62%"
"31.07.2023","2.434,00","2.445,00","2.470,00","2.412,00","461,80K","0,00%"
"28.07.2023","2.434,00","2.434,00","2.463,00","2.410,00","560,35K","1,12%"
"27.07.2023","2.407,00","2.425,00","2.449,50","2.395,00","625,76K","-0,60%"
"26.07.2023","2.421,50","2.350,00","2.468,00","2.321,00","2,04M","2,80%"
"25.07.2023","2.355,50","2.247,50","2.380,00","2.233,00","1,58M","5,20%"
"24.07.2023","2.239,00","2.115,00","2.239,50","2.110,50","1,46M","6,19%"
"21.07.2023","2.108,50","2.072,00","2.113,00","2.060,50","213,18K","1,76%"
"20.07.2023","2.072,00","2.098,50","2.140,00","2.050,00","477,74K","-0,79%"
"19.07.2023","2.088,50","2.110,00","2.123,50","2.071,00","249,88K","-1,04%"
"18.07.2023","2.110,50","2.120,00","2.126,50","2.101,00","279,04K","-0,21%"
"17.07.2023","2.115,00","2.026,50","2.117,00","2.005,00","585,96K","3,73%"
"14.07.2023","2.039,00","2.030,50","2.053,00","2.011,00","142,54K","0,42%"
"13.07.2023","2.030,50","2.045,00","2.065,00","2.015,00","194,88K","-0,29%"
"12.07.2023","2.036,50","2.043,50","2.070,00","2.014,00","383,09K","0,12%"
"11.07.2023","2.034,00","1.970,00","2.047,50","1.970,00","449,59K","3,22%"
"10.07.2023","1.970,50","1.975,50","1.980,00","1.960,00","160,15K","0,33%"
