"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.10.2023","741,60","747,50","756,00","735,20","256,95K","-0,59%"
"12.10.2023","746,00","747,10","753,60","737,50","296,16K","0,05%"
"11.10.2023","745,60","756,00","776,00","742,10","769,36K","-1,74%"
"10.10.2023","758,80","726,20","765,00","726,10","893,58K","4,37%"
"09.10.2023","727,00","727,00","739,20","725,00","411,17K","-0,19%"
"06.10.2023","728,40","710,00","736,50","701,40","983,76K","2,56%"
"05.10.2023","710,20","725,10","726,70","704,50","598,69K","-1,85%"
"04.10.2023","723,60","738,10","738,70","723,40","306,53K","-1,96%"
"03.10.2023","738,10","736,50","739,80","722,70","429,56K","0,22%"
"02.10.2023","736,50","742,60","751,00","731,20","230,61K","-0,79%"
"29.09.2023","742,40","754,50","761,80","738,40","308,34K","-1,60%"
"28.09.2023","754,50","755,80","762,70","752,50","119,38K","-0,17%"
"27.09.2023","755,80","752,10","758,00","748,90","214,78K","0,69%"
"26.09.2023","750,60","751,40","758,90","741,70","308,87K","-0,08%"
"25.09.2023","751,20","764,80","770,00","750,20","245,05K","-1,60%"
"22.09.2023","763,40","736,50","766,00","732,00","336,95K","3,54%"
"21.09.2023","737,30","747,10","755,00","730,00","421,55K","-2,27%"
"20.09.2023","754,40","741,50","764,00","717,00","808,74K","1,53%"
"19.09.2023","743,00","767,50","771,30","742,30","417,37K","-3,51%"
"18.09.2023","770,00","782,80","784,30","766,20","283,15K","-1,62%"
"15.09.2023","782,70","777,00","789,60","763,00","545,83K","0,69%"
"14.09.2023","777,30","782,00","784,80","761,00","316,12K","-0,58%"
"13.09.2023","781,80","794,00","794,00","779,20","192,10K","-1,69%"
"12.09.2023","795,20","774,40","795,40","771,00","395,27K","3,02%"
"11.09.2023","771,90","805,00","805,00","770,00","385,22K","-3,03%"
"08.09.2023","796,00","801,50","809,00","782,00","480,15K","-0,88%"
"07.09.2023","803,10","826,00","826,70","788,50","697,78K","-2,73%"
"06.09.2023","825,60","836,00","837,10","816,10","315,37K","-1,24%"
"05.09.2023","836,00","840,70","843,90","830,10","336,31K","-0,56%"
"04.09.2023","840,70","826,70","847,00","826,10","617,46K","1,90%"
"01.09.2023","825,00","827,00","829,80","817,30","305,80K","-0,24%"
"31.08.2023","827,00","830,50","833,00","823,50","247,63K","-0,70%"
"30.08.2023","832,80","842,00","853,00","823,10","504,27K","-1,21%"
"29.08.2023","843,00","856,00","865,00","833,30","680,51K","-1,40%"
"28.08.2023","855,00","841,00","856,40","835,00","598,90K","1,73%"
"25.08.2023","840,50","838,40","842,30","828,20","301,97K","0,24%"
"24.08.2023","838,50","812,00","842,00","806,70","603,46K","4,12%"
"23.08.2023","805,30","836,30","844,00","801,50","955,46K","-3,96%"
"22.08.2023","838,50","847,80","849,90","832,40","705,07K","-1,10%"
"21.08.2023","847,80","827,00","853,00","817,10","996,48K","3,30%"
"18.08.2023","820,70","782,10","823,00","768,00","1,15M","5,14%"
"17.08.2023","780,60","790,60","790,60","760,10","625,59K","1,04%"
"16.08.2023","772,60","795,00","809,00","753,40","1,70M","-2,79%"
"15.08.2023","794,80","801,40","826,50","782,00","1,27M","-2,69%"
"14.08.2023","816,80","851,00","867,70","809,00","919,76K","-3,57%"
"11.08.2023","847,00","836,40","850,00","824,50","468,89K","1,29%"
"10.08.2023","836,20","815,90","870,00","807,90","469,89K","2,70%"
"09.08.2023","814,20","820,10","824,70","807,60","194,70K","-0,60%"
"08.08.2023","819,10","817,60","819,60","797,20","277,39K","0,39%"
"07.08.2023","815,90","825,00","837,40","808,30","375,34K","-0,58%"
"04.08.2023","820,70","838,00","870,00","794,00","1,44M","-2,11%"
"03.08.2023","838,40","816,00","845,00","809,00","733,69K","2,75%"
"02.08.2023","816,00","811,50","824,00","802,90","465,80K","0,55%"
"01.08.2023","811,50","785,70","822,80","778,70","1,39M","3,52%"
"31.07.2023","783,90","777,50","785,00","774,20","262,44K","1,27%"
"28.07.2023","774,10","787,50","789,00","771,20","307,17K","-1,38%"
"27.07.2023","784,90","774,00","786,20","774,00","289,46K","1,16%"
"26.07.2023","775,90","776,70","779,10","766,70","242,80K","-0,10%"
"25.07.2023","776,70","780,00","780,40","771,00","259,60K","-0,17%"
"24.07.2023","778,00","774,90","779,20","765,00","337,29K","1,89%"
"21.07.2023","763,60","747,90","765,00","745,20","838,67K","1,76%"
"20.07.2023","750,40","784,20","784,20","746,70","965,08K","-4,19%"
"19.07.2023","783,20","787,90","793,50","779,00","241,12K","-0,58%"
"18.07.2023","787,80","790,50","798,00","785,10","356,35K","-0,19%"
"17.07.2023","789,30","771,80","793,90","762,20","484,52K","2,27%"
"14.07.2023","771,80","775,60","775,80","769,10","176,28K","-0,44%"
"13.07.2023","775,20","772,20","779,80","770,60","193,31K","0,47%"
"12.07.2023","771,60","778,00","785,00","766,90","236,46K","-0,55%"
"11.07.2023","775,90","768,00","778,60","753,50","338,96K","1,32%"
"10.07.2023","765,80","761,10","770,00","761,10","176,18K","0,71%"
"07.07.2023","760,40","755,00","763,50","754,70","168,49K","0,61%"
"06.07.2023","755,80","757,40","759,00","748,30","175,11K","0,13%"
"05.07.2023","754,80","754,30","756,40","745,50","244,97K","0,05%"
"04.07.2023","754,40","775,40","775,40","751,30","329,68K","-2,15%"
"03.07.2023","771,00","758,00","779,00","755,10","372,87K","1,67%"
"30.06.2023","758,30","752,30","759,90","741,80","228,63K","0,70%"
"29.06.2023","753,00","751,50","759,00","750,10","154,71K","0,40%"
"28.06.2023","750,00","740,90","756,70","738,50","227,51K","1,43%"
"27.06.2023","739,40","745,00","748,50","734,60","235,04K","-0,43%"
"26.06.2023","742,60","751,10","766,50","726,00","503,80K","-0,85%"
"23.06.2023","749,00","768,90","777,00","747,50","462,52K","-2,79%"
"22.06.2023","770,50","772,00","784,00","764,90","276,92K","-0,37%"
"21.06.2023","773,40","780,70","782,20","762,50","397,42K","-0,73%"
"20.06.2023","779,10","761,90","790,00","758,00","1,30M","2,45%"
"19.06.2023","760,50","741,50","762,00","721,00","583,64K","2,88%"
"16.06.2023","739,20","754,80","754,80","736,00","501,08K","-1,48%"
"15.06.2023","750,30","739,00","759,20","726,60","954,20K","1,82%"
"14.06.2023","736,90","732,80","744,50","710,50","619,51K","1,21%"
"13.06.2023","728,10","712,00","729,00","709,50","282,93K","2,61%"
"09.06.2023","709,60","714,90","719,80","707,20","272,14K","-0,48%"
"08.06.2023","713,00","705,80","714,90","705,40","147,30K","0,82%"
"07.06.2023","707,20","710,60","717,70","705,00","171,77K","-0,37%"
"06.06.2023","709,80","708,00","723,00","695,00","345,82K","0,18%"
"05.06.2023","708,50","710,50","724,50","701,70","478,94K","0,35%"
"02.06.2023","706,00","690,00","708,80","687,70","273,43K","2,16%"
"01.06.2023","691,10","714,00","719,40","686,90","612,01K","-2,88%"
"31.05.2023","711,60","707,40","722,10","691,00","378,10K","0,59%"
"30.05.2023","707,40","703,00","739,80","681,50","1,09M","-0,31%"
"29.05.2023","709,60","694,00","711,80","694,00","556,05K","2,87%"
"26.05.2023","689,80","679,60","691,70","677,20","207,11K","1,71%"
"25.05.2023","678,20","679,80","682,00","674,10","99,28K","-0,43%"
"24.05.2023","681,10","680,20","684,90","677,20","133,28K","0,22%"
"23.05.2023","679,60","688,80","692,00","674,80","289,75K","-1,65%"
"22.05.2023","691,00","693,30","693,30","684,50","111,86K","0,29%"
"19.05.2023","689,00","699,00","699,00","682,10","254,91K","-0,99%"
"18.05.2023","695,90","681,00","696,00","676,40","233,04K","2,20%"
"17.05.2023","680,90","678,20","681,90","665,80","154,68K","0,59%"
"16.05.2023","676,90","685,00","689,20","671,20","260,52K","-0,75%"
"15.05.2023","682,00","668,00","686,30","667,10","289,37K","2,29%"
"12.05.2023","666,70","673,10","678,40","664,70","159,71K","-0,77%"
"11.05.2023","671,90","661,00","684,00","660,00","774,46K","1,90%"
"10.05.2023","659,40","640,50","663,00","640,20","153,18K","2,79%"
"08.05.2023","641,50","645,60","648,70","635,20","106,75K","-0,60%"
"05.05.2023","645,40","664,00","669,00","645,00","256,59K","-2,83%"
"04.05.2023","664,20","657,50","669,50","653,40","166,68K","1,02%"
"03.05.2023","657,50","667,50","682,80","650,00","374,44K","-1,54%"
"02.05.2023","667,80","685,90","692,70","651,70","403,20K","-3,06%"
"28.04.2023","688,90","695,50","703,00","675,00","390,97K","-0,65%"
"27.04.2023","693,40","705,00","706,60","680,50","512,00K","-1,32%"
"26.04.2023","702,70","715,00","715,70","699,30","561,78K","-1,50%"
"25.04.2023","713,40","684,90","719,00","678,00","1,99M","5,24%"
"24.04.2023","677,90","659,30","679,00","655,90","349,74K","2,82%"
"21.04.2023","659,30","660,00","664,30","656,50","96,49K","0,00%"
"20.04.2023","659,30","655,40","662,80","652,30","169,90K","0,09%"
"19.04.2023","658,70","660,90","672,90","654,60","253,72K","-0,26%"
"18.04.2023","660,40","657,90","660,40","652,50","138,30K","0,38%"
"17.04.2023","657,90","659,00","660,00","649,90","145,14K","0,50%"
"14.04.2023","654,60","656,10","658,20","647,10","119,07K","-0,03%"
"13.04.2023","654,80","660,20","664,20","647,00","192,38K","-1,18%"
"12.04.2023","662,60","662,00","667,10","658,00","108,27K","-0,21%"
"11.04.2023","664,00","666,00","678,00","658,00","572,41K","-0,17%"
"10.04.2023","665,10","662,00","666,10","658,20","152,90K","0,91%"
"07.04.2023","659,10","656,60","659,60","650,50","106,26K","0,41%"
"06.04.2023","656,40","653,60","661,90","652,60","132,28K","0,44%"
"05.04.2023","653,50","658,90","658,90","641,80","158,62K","0,08%"
"04.04.2023","653,00","666,20","666,20","650,00","190,10K","-1,43%"
"03.04.2023","662,50","654,80","666,50","654,80","148,63K","1,19%"
"31.03.2023","654,70","664,20","664,50","645,20","253,03K","-1,42%"
"30.03.2023","664,10","661,60","669,50","655,30","241,85K","0,70%"
"29.03.2023","659,50","648,70","662,00","646,10","382,28K","1,60%"
"28.03.2023","649,10","659,00","659,00","640,20","224,23K","-1,19%"
"27.03.2023","656,90","644,80","658,50","640,10","286,03K","2,27%"
"24.03.2023","642,30","648,80","648,80","640,00","127,81K","-0,73%"
"23.03.2023","647,00","640,20","650,00","638,00","175,75K","1,06%"
"22.03.2023","640,20","645,00","647,50","633,20","159,79K","-0,25%"
"21.03.2023","641,80","632,50","647,80","624,10","470,10K","1,79%"
"20.03.2023","630,50","622,00","635,00","620,60","205,44K","0,69%"
"17.03.2023","626,20","617,90","629,00","617,10","221,99K","1,57%"
"16.03.2023","616,50","612,40","618,90","605,90","183,33K","0,31%"
"15.03.2023","614,60","621,90","621,90","612,40","136,47K","-0,82%"
"14.03.2023","619,70","618,30","622,30","617,00","61,03K","0,23%"
"13.03.2023","618,30","623,10","626,00","616,40","113,51K","-0,43%"
"10.03.2023","621,00","626,00","626,40","614,60","150,64K","-1,11%"
"09.03.2023","628,00","623,00","632,40","620,60","158,35K","0,64%"
"07.03.2023","624,00","623,30","625,90","619,20","61,98K","0,31%"
"06.03.2023","622,10","622,00","626,00","617,40","84,25K","-0,05%"
"03.03.2023","622,40","614,80","623,20","614,80","87,59K","1,25%"
"02.03.2023","614,70","629,50","629,50","609,30","197,96K","-2,21%"
"01.03.2023","628,60","622,30","630,00","619,50","201,60K","1,06%"
"28.02.2023","622,00","618,40","626,00","614,50","155,78K","0,84%"
"27.02.2023","616,80","615,50","625,30","614,00","153,49K","-0,13%"
"24.02.2023","617,60","621,80","622,60","613,10","121,75K","0,37%"
"22.02.2023","615,30","621,90","628,50","614,80","244,64K","-0,66%"
"21.02.2023","619,40","596,10","627,80","595,20","436,25K","3,70%"
"20.02.2023","597,30","602,50","604,70","591,00","98,85K","-0,86%"
"17.02.2023","602,50","600,00","608,80","595,60","176,67K","0,05%"
"16.02.2023","602,20","603,00","609,70","596,30","136,40K","0,05%"
"15.02.2023","601,90","622,00","623,00","593,90","242,35K","-3,28%"
"14.02.2023","622,30","633,90","633,90","612,50","235,57K","-1,67%"
"13.02.2023","632,90","631,50","637,00","631,10","134,93K","0,40%"
"10.02.2023","630,40","622,90","634,90","620,50","323,92K","1,20%"
"09.02.2023","622,90","630,00","630,00","621,20","70,37K","-0,50%"
"08.02.2023","626,00","624,40","630,40","621,00","159,86K","0,48%"
"07.02.2023","623,00","625,80","625,90","620,00","97,80K","-0,46%"
"06.02.2023","625,90","619,60","626,00","615,50","121,26K","1,44%"
