"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"13.10.2023","561,85","546,65","562,00","545,40","4,97M","2,89%"
"12.10.2023","546,05","538,40","548,70","535,00","4,07M","1,05%"
"11.10.2023","540,35","549,50","559,65","537,30","6,38M","-1,58%"
"10.10.2023","549,00","552,00","554,50","547,05","2,95M","-0,63%"
"09.10.2023","552,50","541,10","553,20","538,60","6,97M","3,43%"
"06.10.2023","534,20","534,50","537,65","530,00","2,96M","-0,09%"
"05.10.2023","534,70","536,00","539,60","530,30","2,50M","0,14%"
"04.10.2023","533,95","538,20","543,25","533,60","3,44M","-0,92%"
"03.10.2023","538,90","534,65","540,65","526,90","3,20M","0,63%"
"02.10.2023","535,55","538,50","544,35","534,55","4,05M","-0,27%"
"29.09.2023","537,00","536,00","539,40","532,30","3,19M","0,24%"
"28.09.2023","535,70","531,40","537,00","530,50","3,96M","1,09%"
"27.09.2023","529,95","520,30","531,25","519,40","5,00M","2,34%"
"26.09.2023","517,85","518,95","519,90","508,15","4,19M","-0,54%"
"25.09.2023","520,65","513,90","523,00","510,00","5,80M","1,31%"
"22.09.2023","513,90","510,00","515,80","497,75","11,60M","1,16%"
"21.09.2023","508,00","528,00","528,00","504,20","15,09M","-4,03%"
"20.09.2023","529,35","544,00","549,70","527,35","9,82M","-2,69%"
"19.09.2023","544,00","558,60","559,95","542,95","3,69M","-2,35%"
"18.09.2023","557,10","565,00","570,90","556,10","2,85M","-1,01%"
"15.09.2023","562,80","556,55","563,00","551,70","3,23M","1,17%"
"14.09.2023","556,30","555,15","559,00","541,20","3,34M","0,21%"
"13.09.2023","555,15","563,40","563,45","553,00","1,81M","-1,22%"
"12.09.2023","562,00","551,90","562,80","551,70","3,06M","2,35%"
"11.09.2023","549,10","557,50","558,25","542,05","4,19M","-1,59%"
"08.09.2023","557,95","564,50","567,45","552,60","3,26M","-1,18%"
"07.09.2023","564,60","578,80","584,00","555,25","7,02M","-2,45%"
"06.09.2023","578,80","574,50","582,25","570,15","4,78M","0,77%"
"05.09.2023","574,40","568,00","575,75","565,05","6,41M","1,26%"
