Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,SMA_20,EMA_20,RSI,MACD,Signal_Line
2021-12-15,1150.0,1204.0,1204.0,1050.0,163000,5.02,2,4,12,2021,349,15,50,1059.55,1073.7262237228852,60.69839096199931,71.55070459628087,55.136630061296884
2021-12-16,1264.4,1200.0,1264.4,1177.0,484000,9.95,3,4,12,2021,350,16,50,1050.9099999999999,1065.6974051673994,75.75757575757576,74.14249764610986,51.03311142755089
2021-12-17,1301.0,1299.0,1389.6,1281.8,659000,2.89,4,4,12,2021,351,17,50,1036.4,1044.7813425534414,82.88327526132404,64.72413171849371,45.25576487291115
2021-12-20,1150.0,1287.8,1320.0,1110.0,743000,-11.61,0,4,12,2021,354,20,51,1018.04,1017.8109575590668,72.20125786163523,48.03488456406728,40.388673161515506
2021-12-21,1111.8,1182.6,1182.6,1069.0,497000,-3.32,1,4,12,2021,355,21,51,1007.5800000000002,1003.8963215126528,68.30835117773017,41.409192602395024,38.47712031087756
2021-12-22,1057.0,1111.6,1112.0,1032.0,754000,-4.93,2,4,12,2021,356,22,51,999.9200000000001,992.5380395666162,64.76190476190476,36.23953933346206,37.74410223799819
2021-12-23,1014.0,1050.2,1075.6,1006.0,939000,-4.07,3,4,12,2021,357,23,51,993.0200000000001,985.7525700473127,58.58208955223879,34.693697679900765,38.12024296413222
2021-12-24,997.6,1015.8,1035.4,992.0,814000,-1.62,4,4,12,2021,358,24,51,983.6600000000001,982.7791563680825,55.82089552238805,36.594187821284095,38.97687928519008
2021-12-27,1049.2,1012.0,1057.0,996.2,1216000,5.17,0,4,12,2021,361,27,52,975.28,981.2190675647228,80.4004214963119,40.157443415249304,39.572552151166576
2021-12-28,1033.6,1040.0,1042.0,1010.2,472000,-1.49,1,4,12,2021,362,28,52,965.7199999999999,974.0631799399567,75.60706401766002,38.867526832779276,39.426329335145894
2021-12-29,999.0,1003.0,1032.0,996.2,1423000,-3.35,2,4,12,2021,363,29,52,958.04,967.7961462494259,62.28710462287103,38.244142004495416,39.566029960737545
2021-12-30,998.0,1029.8,1029.8,995.0,762000,-0.1,3,4,12,2021,364,30,52,952.99,964.511530065155,69.45812807881771,40.41510693996577,39.89650194979808
2022-01-03,1001.4,998.4,1021.4,970.0,522000,0.34,0,1,1,2022,3,3,1,947.8,960.9864279667502,79.9177518848526,42.700009720293906,39.76685070225615
2022-01-04,1019.8,1013.0,1022.8,1000.0,803000,1.84,1,1,1,2022,4,4,1,943.0799999999999,956.7323677527238,84.30947216196668,44.64910367307209,39.03356094774671
2022-01-05,1025.0,1018.0,1026.0,1002.8,210000,0.51,2,1,1,2022,5,5,1,937.3399999999999,950.0936696214316,77.8891115564462,44.61396026482794,37.62967526641536
2022-01-06,1019.6,1024.4,1030.0,1010.0,214000,-0.53,3,1,1,2022,6,6,1,930.49,942.208792739477,72.08860759493669,43.39071961990794,35.883604016812214
2022-01-10,999.0,1016.6,1036.2,995.0,1152000,-2.02,0,1,1,2022,10,10,2,923.385,934.0623498699483,66.11359285258453,41.74810018410221,34.00682511603828
2022-01-11,1008.8,1005.8,1008.8,990.4,266000,0.98,1,1,1,2022,11,11,2,917.0600000000001,927.2268077509956,68.64020819778787,41.141729919723275,32.07150634902229
2022-01-12,1009.2,1009.2,1014.4,1004.4,221000,0.04,2,1,1,2022,12,12,2,910.1200000000001,918.6401559353109,65.97873671044402,38.77153761981094,29.803950456347046
2022-01-13,982.6,1000.4,1014.0,982.0,1008000,-2.64,3,1,1,2022,13,13,2,903.9100000000001,909.1075407706066,63.14363143631436,35.14163344618032,27.562053665481066
2022-01-14,977.2,984.0,999.8,961.0,837000,-0.55,4,1,1,2022,14,14,2,899.0049999999999,901.3714924306705,64.53715775749674,32.705768359892545,25.66715872030625
2022-01-17,974.2,977.4,999.0,968.2,548000,-0.31,0,1,1,2022,17,17,3,894.095,893.3895442654779,65.38339166401528,29.67081665543219,23.907506310409676
2022-01-18,933.8,970.0,980.8,929.6,1176000,-4.15,1,1,1,2022,18,18,3,888.6850000000001,884.8831805039492,60.98960200788812,25.67099369220557,22.466678724154047
2022-01-19,940.8,933.8,966.2,918.2,838000,0.75,2,1,1,2022,19,19,3,885.8950000000001,879.7340416096281,62.9008746355685,24.305823383618986,21.665599982141167
2022-01-20,958.6,990.0,990.0,925.4,380000,1.89,3,1,1,2022,20,20,3,883.53,873.3060459895889,63.54933726067747,21.497103122351973,21.005544131771714
2022-01-21,919.0,971.4,971.4,894.2,1508000,-4.13,4,1,1,2022,21,21,3,879.775,864.3277350411246,57.41935483870968,15.78710594346444,20.882654384126646
2022-01-24,826.8,932.8,995.0,785.2,2388000,-10.03,0,1,1,2022,24,24,4,877.675,858.5727597822956,32.098765432098745,12.301442548688556,22.1565414942922
2022-01-25,830.0,852.0,852.0,799.6,872000,0.39,1,1,1,2022,25,25,4,878.2850000000001,861.917260812011,38.4318766066838,17.06117483319349,24.620316230693106
2022-01-26,858.0,850.0,869.0,833.2,377000,3.37,2,1,1,2022,26,26,4,879.3100000000001,865.2769724764332,42.83667621776504,22.5623433151153,26.510101580068007
2022-01-27,880.0,875.0,888.8,831.2,323000,2.56,3,1,1,2022,27,27,4,866.6600000000001,866.0429695792158,44.92862509391434,26.404746092911864,27.49704114630618
2022-01-28,898.0,899.8,927.0,880.0,324000,2.05,4,1,1,2022,28,28,4,854.9100000000001,864.573808482291,55.79536370903277,28.684980240675486,27.770114909654758
2022-01-31,894.2,890.2,932.0,860.4,995000,-0.42,0,1,1,2022,31,31,5,841.9350000000001,861.0552620067427,56.72926447574336,29.345424840320106,27.541398576899574
2022-02-01,907.0,910.0,910.0,894.5,234000,1.43,1,1,2,2022,32,1,5,832.625,857.5663422179788,72.22222222222223,30.148458858916456,27.090392011044436
2022-02-02,905.0,910.0,919.5,897.5,353000,-0.22,2,1,2,2022,33,2,5,831.5,852.3627992935554,66.76923076923077,29.431626513795322,26.32587529907643
2022-02-03,888.0,900.5,900.5,880.0,207000,-1.88,3,1,2,2022,34,3,5,829.4,846.822041324456,86.18925831202046,28.292227753094608,25.549437495396703
2022-02-04,877.5,915.0,915.0,875.0,191000,-1.18,4,1,2,2022,35,4,5,828.05,842.4875193586092,77.64565992865636,28.15732638575514,24.863739930972223
2022-02-07,872.5,885.5,892.0,861.0,290000,-0.57,0,1,2,2022,38,7,6,826.95,838.8019950805681,77.72511848341233,28.644672984012686,24.040343317276488
2022-02-08,870.0,875.5,881.5,840.0,274000,-0.29,1,1,2,2022,39,8,6,823.95,835.2548366679963,66.56441717791412,29.35914558056652,22.889260900592436
2022-02-09,885.0,875.5,894.0,871.0,259000,1.72,2,1,2,2022,40,9,6,820.65,831.5974510541012,50.03843197540354,30.098575758996276,21.271789730598915
2022-02-10,884.5,878.5,894.0,878.5,417000,-0.06,3,1,2,2022,41,10,6,816.8,825.9761301124275,51.600893521965745,29.077287357515615,19.065093223499574
2022-02-11,879.0,889.5,915.5,850.5,782000,-0.62,4,1,2,2022,42,11,6,812.675,819.8157227558411,51.34730538922155,27.40171870897109,16.56204468999556
2022-02-14,866.0,875.0,879.0,851.5,149000,-1.48,0,1,2,2022,45,14,7,808.425,813.5857988354034,50.79485238455715,25.42451336178931,13.852126185251674
2022-02-15,878.0,879.0,894.0,865.5,328000,1.39,1,1,2,2022,46,15,7,805.05,808.0685145022879,54.73608098336948,23.85470561521481,10.959029391117266
2022-02-16,893.5,899.5,916.0,890.0,385000,1.77,2,1,2,2022,47,16,7,801.1,800.7073055025288,56.53761869978086,20.282264373365706,7.73511033509288
2022-02-17,883.5,893.0,921.0,875.5,456000,-1.12,3,1,2,2022,48,17,7,795.675,790.9396534501634,55.56374355195285,13.849333706520383,4.598321825524674
2022-02-18,877.0,883.0,920.5,871.0,318000,-0.74,4,1,2,2022,49,18,7,790.075,781.1964590764965,55.530973451327434,6.4553118923792,2.2855688552757463
2022-02-21,839.0,900.0,910.5,821.0,1804000,-4.33,0,1,2,2022,52,21,8,782.65,771.1118758213909,53.47222222222222,-2.414225941559266,1.2431330959998825
2022-02-22,850.5,825.0,866.5,735.0,775000,1.37,1,1,2,2022,53,22,8,777.1,763.9657574868004,54.056162246489855,-9.830774581363471,2.1574728553896696
2022-02-24,605.0,750.0,765.0,370.0,4098000,-28.87,3,1,2,2022,55,24,8,771.075,754.856889853832,25.505050505050505,-20.324903578621047,5.154534714577955
2022-02-25,645.0,660.0,753.5,602.0,1076000,6.61,4,1,2,2022,56,25,8,777.475,770.6312993121301,31.08108108108108,-8.427229628522696,11.524394287877705
