Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,SMA_20,EMA_20,RSI,MACD,Signal_Line
2020-11-25,2954.0,3102.0,3282.0,2888.0,129000000,-2.6,2,4,11,2020,330,25,48,3232.925,3225.754391765996,41.6497633536173,-125.65271562452472,-104.54984645371628
2020-11-26,2944.0,3002.0,3002.0,2900.5,19432000,-0.34,3,4,11,2020,331,26,48,3246.325,3254.360117215048,37.292307692307695,-115.33398591181776,-99.27412916101416
2020-11-27,3025.0,2967.5,3082.0,2913.0,33631000,2.75,4,4,11,2020,332,27,48,3256.575,3287.0296032376846,44.48061556673572,-99.46776746524574,-95.25916497331325
2020-11-30,3071.0,2999.5,3140.0,2967.5,21026000,1.52,0,4,11,2020,335,30,49,3262.85,3314.611666736388,44.297082228116714,-86.0171720303083,-94.20701435033011
2020-12-01,3059.5,3048.0,3097.0,3000.5,15054000,-0.37,1,4,12,2020,336,1,49,3273.8,3340.2550000770607,43.933550875111244,-72.28179862745628,-96.25447493033556
2020-12-02,3184.0,3030.0,3230.0,3003.0,26444000,4.07,2,4,12,2020,337,2,49,3282.425,3369.808157979909,48.52572145545797,-52.52818677687128,-102.24764400605538
2020-12-03,3614.5,3120.5,3649.0,3085.5,91418000,13.52,3,4,12,2020,338,3,49,3287.7,3389.3669114514782,66.73773987206823,-39.22771220718869,-114.6775083133514
2020-12-04,3556.0,3566.5,3984.0,3428.5,110000000,-1.62,4,4,12,2020,339,4,49,3268.45,3365.6686916042654,67.14406065711879,-65.51361248796184,-133.53995733989206
2020-12-07,3422.0,3570.0,3675.0,3351.5,40494000,-3.77,0,4,12,2020,342,7,50,3258.075,3345.6338170362933,62.87339971550498,-92.15469084650476,-150.54654355287462
2020-12-08,3471.0,3425.0,3495.0,3260.0,32021000,1.43,1,4,12,2020,343,8,50,3249.825,3337.5952714611662,57.90393013100436,-111.17432626636946,-165.14450672946708
2020-12-09,3301.0,3549.5,3600.0,3300.0,45086000,-4.9,2,4,12,2020,344,9,50,3245.1,3323.5526684570787,53.33978702807357,-138.8223070929398,-178.6370518452415
2020-12-10,3294.0,3349.5,3380.0,3267.5,23068000,-0.21,3,4,12,2020,345,10,50,3249.15,3325.9266335578236,50.20766035994462,-154.78285997204694,-188.5907380333169
2020-12-11,3164.5,3300.0,3340.0,3106.0,24963000,-3.93,4,4,12,2020,346,11,50,3260.975,3329.287331827068,46.794871794871796,-172.1902149563325,-197.04270754863438
2020-12-14,3069.0,3195.0,3238.0,3012.5,31568000,-3.02,0,4,12,2020,349,14,51,3277.3,3346.633366756233,36.53012048192771,-178.7182903732737,-203.2558306967098
2020-12-15,3201.0,3094.0,3208.5,3040.5,18618000,4.3,1,4,12,2020,350,15,51,3305.675,3375.857931677942,47.19157472417251,-174.72731331819432,-209.3902157775688
2020-12-16,3357.0,3215.0,3369.0,3168.0,27037000,4.87,2,4,12,2020,351,16,51,3335.9,3394.2640297493044,48.984903695991676,-180.53188713781037,-218.05594139241242
2020-12-17,3211.5,3339.0,3398.5,3181.5,24801000,-4.33,3,4,12,2020,352,17,51,3357.8,3398.1865591965993,39.60999390615478,-201.1983520910253,-227.43695495606292
2020-12-18,3264.5,3200.5,3296.0,3119.5,27542000,1.65,4,4,12,2020,353,18,51,3395.825,3417.8377759541363,35.480349344978166,-209.83520950998627,-233.99660567232232
2020-12-21,3264.0,3283.0,3346.5,3178.0,33581000,-0.02,0,4,12,2020,356,21,52,3432.65,3433.978594475624,38.11518324607329,-223.20319538640615,-240.03695471290632
2020-12-22,3231.0,3263.0,3415.0,3209.0,42446000,-1.01,1,4,12,2020,357,22,52,3472.3,3451.8710781046375,31.007025761124126,-236.96810542668845,-244.24539454453134
2020-12-23,3222.0,3265.0,3270.0,3131.0,31866000,-0.28,2,4,12,2020,358,23,52,3509.75,3475.1206652735464,26.23217922606925,-247.7303272537156,-246.06471682399206
2020-12-24,3149.0,3220.0,3243.0,3108.0,19382000,-2.27,3,4,12,2020,359,24,52,3549.375,3501.764945828657,22.274678111587974,-256.9471219892489,-245.64831421656115
2020-12-25,3150.5,3152.5,3164.0,3130.0,4491000,0.05,4,4,12,2020,360,25,52,3586.975,3538.8980980211472,19.358448340171577,-257.54096367730426,-242.8236122733892
2020-12-28,3290.0,3168.0,3290.5,3142.5,27604000,4.43,0,4,12,2020,363,28,53,3607.475,3579.7821083391623,21.097560975609753,-254.70559850566087,-239.1442744224104
2020-12-29,3232.0,3293.0,3327.5,3170.0,20892000,-1.76,1,4,12,2020,364,29,53,3635.275,3610.285488164337,16.408794788273624,-261.58546916286286,-235.25394340159775
2020-12-30,3289.5,3241.0,3348.0,3202.0,22059000,1.78,2,4,12,2020,365,30,53,3656.775,3650.105013234267,22.324649298597194,-260.656351795687,-228.67106196128148
2021-01-04,3229.5,3269.5,3278.0,2996.0,36338000,-1.82,0,1,1,2021,4,4,1,3685.675,3688.063435679979,17.880523731587573,-261.53364051182643,-220.6747395026801
2021-01-05,3348.5,3239.0,3380.5,3209.5,28139000,3.68,1,1,1,2021,5,5,1,3725.0,3736.333271014714,27.291409782161935,-252.74016333843565,-210.46001425039347
2021-01-06,3257.0,3345.0,3369.5,3220.0,15670000,-2.73,2,1,1,2021,6,6,1,3758.725,3777.1578258583677,39.64517229614466,-249.9566319158398,-199.88997697838292
2021-01-08,3376.5,3325.0,3500.0,3270.0,41492000,3.67,4,1,1,2021,8,8,1,3805.15,3831.91128121188,35.61140055163959,-233.45173716313275,-187.37331324401868
2021-01-11,3382.0,3365.0,3426.0,3330.0,14392000,0.16,0,1,1,2021,11,11,2,3868.825,3879.8493108131306,42.26519337016575,-221.15710077457743,-175.85370726424014
