Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %,dayofweek,quarter,month,year,dayofyear,dayofmonth,weekofyear,SMA_20,EMA_20,RSI,MACD,Signal_Line
2020-10-30,955.0,955.0,990.0,951.6,5440000,0.21,4,4,10,2020,304,30,44,948.5300000000001,949.8581746355761,66.85714285714289,0.37665568508396063,-1.380954995825031
2020-11-02,957.0,955.0,958.0,952.0,1660000,0.21,0,4,11,2020,307,2,45,947.9800000000001,949.3169298603736,65.00000000000003,-0.013255370215574658,-1.8203576660522787
2020-11-03,952.6,959.6,959.6,952.0,899000,-0.46,1,4,11,2020,308,3,45,947.3800000000001,948.5081856351499,57.22891566265077,-0.7143672208674161,-2.2721332400114544
2020-11-05,952.8,959.0,959.0,944.8,1551000,0.02,3,4,11,2020,310,5,45,947.05,948.0774683335867,55.55555555555552,-1.1508500961232357,-2.661574744797464
2020-11-06,952.0,958.2,958.2,950.6,968000,-0.08,4,4,11,2020,311,6,45,946.54,947.5803597371222,59.35828877005352,-1.711584964597023,-3.039255906966021
2020-11-09,942.0,952.0,954.2,940.6,1489000,-1.05,0,4,11,2020,314,9,46,946.1299999999999,947.115134446293,41.78082191780825,-2.320936233600378,-3.3711736425582703
2020-11-10,950.0,940.2,951.0,935.0,1270000,0.85,1,4,11,2020,315,10,46,945.8100000000001,947.653569651166,62.50000000000012,-2.046749144457749,-3.633732994797743
2020-11-11,948.0,950.8,950.8,940.2,1000000,-0.21,2,4,11,2020,316,11,46,945.0600000000001,947.4065769828676,56.521739130434845,-2.481561272214435,-4.0304789573827415
2020-11-12,947.0,950.0,950.6,941.0,381000,-0.11,3,4,11,2020,317,12,46,944.7,947.3441114021169,52.17391304347828,-2.7968078604101265,-4.417708378674818
2020-11-13,947.0,947.0,950.0,941.0,627000,0.0,4,4,11,2020,318,13,46,944.3,947.3803336549714,58.33333333333337,-3.0566781186464596,-4.8229335082409905
2020-11-16,948.4,949.8,951.0,941.2,1275000,0.15,0,4,11,2020,321,16,47,943.75,947.4203687765474,58.77862595419862,-3.343906293796863,-5.264497355639623
2020-11-17,947.6,942.0,950.8,941.2,501000,-0.08,1,4,11,2020,322,17,47,943.9399999999999,947.3172497003945,67.85714285714303,-3.8044207094426383,-5.744645121100312
2020-11-18,947.0,948.0,948.0,940.0,1042000,-0.06,2,4,11,2020,323,18,47,944.9100000000001,947.2874865109624,67.85714285714303,-4.2554129896385575,-6.229701224014731
2020-11-19,946.2,949.6,949.6,942.8,369000,-0.08,3,4,11,2020,324,19,47,945.55,947.3177482489584,56.994818652849915,-4.708055311057592,-6.7232732826087735
2020-11-20,943.2,946.2,949.6,942.2,390000,-0.32,4,4,11,2020,325,20,47,945.9399999999999,947.4354059593751,55.6149732620322,-5.13585616041712,-7.227077775496568
2020-11-23,946.2,949.4,949.6,941.2,892000,0.32,0,4,11,2020,328,23,48,946.53,947.8812381656251,63.63636363636383,-5.301727700357105,-7.74988317926643
2020-11-24,947.8,942.4,948.0,941.2,550000,0.17,1,4,11,2020,329,24,48,946.4400000000002,948.0582106041119,45.76923076923067,-5.741778608420873,-8.36192204899376
2020-11-25,949.0,949.0,950.0,941.2,1418000,0.13,2,4,11,2020,330,25,48,946.5599999999998,948.0853906677027,36.280487804877986,-6.382835896772349,-9.01695790913698
2020-11-26,945.0,948.2,949.6,941.2,666000,-0.42,3,4,11,2020,331,26,48,946.6099999999999,947.989116001145,39.244186046511615,-7.230398677224343,-9.675488412228137
2020-11-27,946.8,948.8,948.8,941.8,765000,0.19,4,4,11,2020,332,27,48,946.8699999999999,948.3037597907393,45.054945054945,-7.79975482715065,-10.286760845979085
2020-11-30,944.0,948.4,948.4,942.2,234000,-0.3,0,4,11,2020,335,30,49,947.49,948.4620502950276,42.25352112676054,-8.596282061025477,-10.908512350686191
2020-12-01,945.0,942.0,948.4,940.0,564000,0.11,1,4,12,2020,336,1,49,947.8399999999999,948.9317397997672,50.37220843672458,-9.202812718647124,-11.486569923101367
2020-12-02,946.0,941.4,946.6,941.2,715000,0.11,2,4,12,2020,337,2,49,948.5600000000001,949.3456071471111,47.540983606557354,-9.944925482103713,-12.057509224214927
2020-12-03,942.6,942.2,946.0,941.2,673000,-0.36,3,4,12,2020,338,3,49,949.1600000000001,949.6977763204912,45.498783454987844,-10.849295947721316,-12.585655159742728
2020-12-04,943.8,941.2,944.0,941.0,679000,0.13,4,4,12,2020,339,4,49,950.2700000000001,950.4449106700166,46.05911330049256,-11.499611764597375,-13.01974496274808
2020-12-07,935.6,941.6,944.4,933.0,1715000,-0.87,0,4,12,2020,342,7,50,951.3300000000002,951.144374951071,35.60975609756099,-12.284565963379691,-13.399778262285754
2020-12-08,935.0,942.0,942.0,930.0,571000,-0.06,1,4,12,2020,343,8,50,952.65,952.7806249459206,41.071428571428584,-12.27285927217622,-13.678581337012268
2020-12-09,940.8,940.0,946.0,931.0,647000,0.62,2,4,12,2020,344,9,50,953.8,954.6522696770702,39.91323210412148,-12.018312051444923,-14.030011853221279
2020-12-10,939.0,945.0,945.0,935.0,790000,-0.19,3,4,12,2020,345,10,50,954.85,956.110403327288,39.65141612200437,-12.109150878054152,-14.532936803665367
2020-12-11,936.0,939.0,943.8,932.0,231000,-0.32,4,4,12,2020,346,11,50,955.74,957.911498414371,34.937238493723896,-11.865688422154449,-15.138883285068168
2020-12-14,952.2,940.0,959.4,934.8,2243000,1.73,0,4,12,2020,349,14,51,956.54,960.2179719316732,41.95979899497492,-11.076895419574726,-15.957182000796596
2020-12-15,967.0,952.0,970.0,932.0,1844000,1.55,1,4,12,2020,350,15,51,956.4799999999999,961.0619689771124,53.68731563421827,-11.558444781088383,-17.177253646102063
2020-12-16,959.8,967.0,967.0,955.6,1827000,-0.74,2,4,12,2020,351,16,51,955.68,960.4369130799664,51.393188854489125,-13.51186313296796,-18.581955862355482
2020-12-17,954.0,963.0,963.0,952.2,904000,-0.6,3,4,12,2020,352,17,51,955.22,960.5039565620682,43.76996805111826,-15.075508183796728,-19.84947904470236
2020-12-18,955.0,957.6,957.6,935.0,1190000,0.1,4,4,12,2020,353,18,51,955.3799999999999,961.1885835686016,48.64864864864869,-16.26146229327196,-21.042971759928765
2020-12-21,944.4,945.6,953.0,939.0,1911000,-1.11,0,4,12,2020,356,21,52,955.6299999999999,961.8400134179282,43.74999999999999,-17.64045881419088,-22.238349126592965
2020-12-22,950.2,941.0,955.0,936.0,851000,0.61,1,4,12,2020,357,22,52,956.4399999999999,963.6758043040259,49.28571428571432,-18.064698609048264,-23.387821704693483
2020-12-23,950.0,950.4,960.0,949.0,254000,-0.02,2,4,12,2020,358,23,52,956.4800000000001,965.0943100202392,49.10394265232974,-18.933969058353,-24.718602478604787
2020-12-24,950.2,949.6,953.4,945.8,213000,0.02,3,4,12,2020,359,24,52,956.8400000000001,966.6831847592117,49.64285714285716,-19.74770742734404,-26.164760833667735
